#{"t_start": 1763988852.6033514, "env_id": "None"}
r,l,t
921.0,200,470.414858
854.0,200,471.349501
922.0,200,472.157639
938.0,200,472.964879
972.0,200,473.860651
963.0,200,474.578933
959.9,200,475.511672
964.8,200,476.44892
918.9,200,477.290539
869.0,200,478.233637
940.0,200,478.955523
881.0,200,479.905301
970.0,200,480.619766
876.0,200,481.478561
933.0,200,482.242398
917.0,200,483.121254
868.0,200,484.099209
891.0,200,484.799715
962.8,200,485.635391
949.0,200,486.30289
899.0,200,487.194919
975.0,200,488.164333
968.0,200,488.96139
855.0,200,489.861974
979.0,200,490.82032
958.8,200,491.600717
833.0,200,492.483012
587.0,200,493.283188
921.0,200,494.233359
974.8,200,494.911527
741.9,200,495.827551
969.8,200,496.64829
968.8,200,497.588362
897.0,200,498.71153
950.8,200,499.988852
825.0,200,501.187913
937.0,200,502.45626
931.9,200,503.686918
979.9,200,504.756338
985.0,200,506.171138
921.0,200,507.134388
979.9,200,507.840611
876.0,200,508.704271
955.0,200,509.375556
947.0,200,510.272833
946.0,200,511.233311
968.0,200,512.015986
926.0,200,512.855156
953.0,200,513.52584
937.2,200,517.539215
884.0,200,518.25368
945.6,200,519.200095
849.0,200,520.098856
883.9,200,520.85246
962.7,200,521.823803
964.8,200,522.490235
969.8,200,523.345513
963.0,200,524.032385
873.0,200,524.99107
875.9,200,525.829118
865.0,200,526.629216
881.0,200,527.755777
946.0,200,529.027225
971.0,200,530.071404
967.8,200,530.870501
980.0,200,531.798751
985.0,200,532.493852
889.7,200,533.488746
950.0,200,534.431153
979.9,200,535.29013
675.9,200,536.371613
949.9,200,537.942446
886.9,200,539.868458
913.0,200,541.180586
871.8,200,541.9744
937.0,200,542.815629
897.0,200,543.740295
962.7,200,544.565028
954.5,200,545.426505
828.0,200,546.422132
857.0,200,547.173602
973.0,200,548.151915
902.9,200,548.883558
979.0,200,549.756838
974.0,200,550.529364
974.0,200,551.375611
971.0,200,552.197331
899.9,200,552.972099
843.9,200,553.838493
969.8,200,554.513414
857.0,200,555.520425
801.0,200,556.408215
985.0,200,557.154055
697.0,200,558.028724
907.9,200,559.171843
827.9,200,560.325676
978.0,200,561.57226
905.0,200,562.771585
985.0,200,563.83249
974.0,200,568.696377
961.0,200,569.625259
949.0,200,570.338386
951.8,200,571.357328
913.8,200,572.409942
838.8,200,573.241607
883.9,200,574.371441
948.0,200,575.410425
963.8,200,576.126467
959.6,200,577.120713
907.0,200,577.828125
974.0,200,578.842091
898.0,200,579.63089
951.0,200,580.435748
923.0,200,581.33132
877.0,200,582.117587
908.9,200,583.00301
962.7,200,583.717005
923.0,200,584.574075
953.0,200,585.493524
806.8,200,586.189625
971.0,200,587.076297
808.5,200,587.789913
819.9,200,588.798356
861.9,200,589.845317
923.0,200,590.534547
952.7,200,591.389068
968.0,200,592.07062
937.0,200,593.032342
948.0,200,593.763556
921.0,200,594.692311
962.0,200,595.88899
908.0,200,596.999554
849.0,200,598.250693
889.0,200,599.354793
867.9,200,600.606079
878.8,200,601.795778
953.0,200,603.069068
937.8,200,604.283159
867.8,200,605.4604
834.0,200,606.689608
939.9,200,607.863343
969.0,200,609.148216
929.0,200,610.493786
950.0,200,611.885225
867.0,200,613.064464
857.0,200,613.764315
875.0,200,614.736921
899.0,200,615.784994
883.9,200,616.49634
778.0,200,620.584815
905.0,200,621.710254
891.0,200,622.421622
973.0,200,623.451601
857.8,200,624.319802
979.9,200,625.115678
937.0,200,626.079203
929.0,200,626.918811
843.9,200,627.718792
947.7,200,628.654716
753.9,200,629.454659
927.8,200,630.437264
972.0,200,631.379028
977.0,200,632.202953
905.0,200,633.172264
969.0,200,633.87567
979.9,200,634.956589
960.8,200,635.77389
934.0,200,636.578431
940.0,200,637.603123
960.0,200,638.623834
849.0,200,639.747071
962.9,200,640.974427
916.0,200,642.281049
953.0,200,643.510809
904.7,200,644.55331
908.0,200,645.244352
905.0,200,646.331675
890.8,200,647.089645
943.8,200,647.911263
947.0,200,648.804878
824.9,200,649.605291
875.0,200,650.547101
964.0,200,651.282198
926.8,200,652.185875
937.0,200,653.167283
955.8,200,653.85851
956.0,200,654.814473
911.7,200,655.509153
940.0,200,656.401619
925.9,200,657.268538
960.8,200,658.059314
875.9,200,658.932206
954.0,200,659.774766
926.8,200,660.698092
878.8,200,661.47297
961.0,200,662.632528
969.0,200,663.519312
979.9,200,664.205883
956.9,200,665.167896
959.0,200,669.849981
961.0,200,670.882219
969.8,200,671.703605
962.9,200,672.82115
965.0,200,673.692543
809.0,200,674.467826
954.6,200,675.307071
963.0,200,676.101704
905.0,200,676.864429
953.0,200,677.723289
980.0,200,678.52928
913.0,200,679.540531
985.0,200,680.56182
973.0,200,681.369348
937.0,200,682.299194
875.0,200,683.029874
945.0,200,684.222504
956.0,200,685.5382
905.0,200,686.815733
913.0,200,688.093117
914.0,200,689.247798
938.0,200,690.381551
971.0,200,691.586672
966.0,200,692.728645
955.0,200,693.938915
841.0,200,695.09988
929.0,200,696.424018
965.9,200,697.697232
974.8,200,698.504498
937.0,200,699.488291
961.0,200,700.202457
853.0,200,701.413237
963.9,200,702.61954
953.0,200,703.879596
972.0,200,705.498624
963.8,200,706.704923
978.0,200,707.974799
892.0,200,709.412175
950.0,200,710.939981
911.0,200,712.151441
923.0,200,712.959244
827.9,200,713.997205
965.9,200,715.150744
962.8,200,715.952245
929.0,200,716.867877
980.0,200,717.758963
905.0,200,720.549113
876.0,200,722.097243
980.0,200,723.758554
943.0,200,725.421991
923.7,200,732.770878
887.0,200,734.0966
959.8,200,735.637645
957.7,200,737.16721
945.0,200,738.470945
946.0,200,739.754416
971.0,200,740.975117
985.0,200,742.233915
905.0,200,743.484929
937.0,200,744.800719
977.0,200,746.049258
973.0,200,747.288428
852.9,200,748.615499
884.0,200,749.809545
903.0,200,751.092715
965.0,200,752.403736
974.9,200,753.638756
907.8,200,754.786505
945.0,200,755.906934
958.0,200,757.483651
891.0,200,758.719176
980.0,200,759.992651
948.0,200,761.202906
921.0,200,762.370507
979.0,200,763.588158
941.9,200,764.832988
971.0,200,765.929346
966.9,200,767.155459
903.0,200,768.395146
229.0,200,769.635839
938.0,200,770.849201
985.0,200,772.118669
922.0,200,773.212042
865.0,200,774.42821
967.8,200,775.657601
834.0,200,776.787831
912.0,200,777.84846
948.9,200,778.941191
916.0,200,780.203832
889.0,200,781.443776
945.0,200,782.626682
978.0,200,783.755145
952.0,200,784.851092
909.9,200,786.078739
985.0,200,787.290377
921.0,200,788.447086
954.0,200,789.645473
969.0,200,790.831444
953.0,200,792.02661
937.0,200,793.287565
921.0,200,798.113439
949.0,200,799.285583
985.0,200,800.549575
937.0,200,801.773486
785.0,200,802.93374
913.0,200,804.139699
956.0,200,805.403391
978.0,200,806.477886
934.0,200,807.750983
957.0,200,808.843292
980.0,200,810.069436
985.0,200,811.280215
979.0,200,812.66507
985.0,200,813.945534
897.0,200,815.190008
745.0,200,816.358362
867.9,200,817.572618
955.8,200,818.783309
958.0,200,820.072614
960.0,200,821.211743
959.0,200,822.489629
939.9,200,823.704686
907.9,200,824.933328
946.0,200,826.173291
940.0,200,827.408321
979.9,200,828.638397
873.0,200,829.753935
953.0,200,830.977325
955.0,200,832.204834
905.0,200,833.35765
962.8,200,834.532082
973.9,200,835.79755
979.0,200,837.052397
985.0,200,837.851544
979.0,200,838.320047
957.7,200,838.728653
729.0,200,839.154645
963.9,200,839.5789
873.0,200,839.93605
972.9,200,840.355708
908.0,200,840.760292
875.9,200,841.123101
867.9,200,841.480707
985.0,200,841.943981
873.0,200,842.29238
908.0,200,842.65121
837.0,200,843.151595
968.0,200,843.627422
931.0,200,843.994956
864.8,200,844.428799
955.9,200,846.103297
961.0,200,846.511878
947.0,200,846.899491
900.0,200,847.342586
973.0,200,847.725425
905.0,200,848.135667
931.0,200,848.506408
979.0,200,849.042831
960.9,200,849.478311
980.0,200,849.860323
926.0,200,850.283935
950.0,200,850.637356
968.0,200,851.00581
985.0,200,851.356112
833.0,200,851.777225
886.0,200,852.126719
929.0,200,852.485711
897.0,200,852.941383
977.0,200,853.3339
842.0,200,853.703805
985.0,200,854.078454
979.0,200,854.520963
973.0,200,854.877954
908.0,200,855.256239
905.0,200,855.707543
931.9,200,856.084723
955.0,200,856.461932
809.0,200,856.823744
985.0,200,857.241549
898.0,200,857.662785
931.0,200,858.003629
979.0,200,858.381627
954.0,200,858.773517
963.9,200,859.172827
955.9,200,859.53502
891.0,200,859.981003
947.6,200,860.35335
902.6,200,860.779588
910.8,200,861.197973
939.0,200,861.601605
961.0,200,861.982113
962.0,200,862.453704
939.0,200,862.889567
962.0,200,863.241351
963.0,200,863.620316
967.0,200,863.993713
958.8,200,864.386995
968.0,200,864.756844
963.0,200,865.105568
980.0,200,865.520585
961.0,200,867.155785
961.0,200,867.626493
974.9,200,868.001768
985.0,200,868.403508
929.0,200,868.779315
971.9,200,869.183192
967.9,200,869.7476
969.0,200,870.142517
875.9,200,870.522574
875.9,200,870.968437
940.0,200,871.351974
980.0,200,871.80645
972.0,200,872.21072
900.0,200,872.621636
906.0,200,872.987267
985.0,200,873.354092
973.0,200,873.927661
209.0,200,874.323667
937.0,200,874.741086
979.9,200,875.245659
985.0,200,875.71276
805.9,200,876.141213
971.0,200,876.743236
889.0,200,877.192074
882.0,200,877.688441
937.0,200,878.162981
881.0,200,878.604102
939.9,200,878.951778
957.7,200,879.420648
927.0,200,879.809164
939.0,200,880.175672
925.0,200,880.580077
956.8,200,881.03567
915.0,200,881.43378
915.0,200,881.840904
953.0,200,882.271334
900.8,200,882.640386
942.8,200,883.017152
933.0,200,883.596379
932.8,200,883.971112
945.0,200,884.34861
979.0,200,884.865463
841.0,200,885.238676
937.0,200,885.646464
940.9,200,886.042662
867.0,200,886.455347
971.0,200,886.855589
966.0,200,887.206716
931.9,200,887.608949
971.0,200,887.972
915.0,200,889.583497
961.0,200,890.00008
955.0,200,890.505747
985.0,200,890.893364
865.0,200,891.31238
921.0,200,891.714784
948.9,200,892.121323
937.5,200,892.506674
914.0,200,892.886405
955.8,200,893.399896
954.0,200,893.819802
974.9,200,894.154996
954.0,200,894.658316
966.0,200,895.070437
978.0,200,895.45271
961.0,200,895.901255
970.0,200,896.297591
977.0,200,896.708601
891.0,200,897.122371
977.0,200,897.532804
961.0,200,897.900316
801.0,200,898.309652
904.0,200,898.761634
969.8,200,899.179635
969.0,200,899.55667
875.9,200,900.012694
924.0,200,900.413222
961.0,200,900.820756
974.9,200,901.215462
970.0,200,901.6365
978.0,200,902.02219
979.0,200,902.389621
907.0,200,902.787643
961.0,200,903.230422
927.9,200,903.603477
964.6,200,903.984063
929.0,200,904.437243
890.0,200,904.82398
974.8,200,905.21393
974.9,200,905.727541
896.8,200,906.165639
873.0,200,906.671413
985.0,200,907.303183
774.8,200,907.796789
921.0,200,908.199049
945.7,200,908.637455
860.6,200,909.03871
965.0,200,909.392572
952.7,200,909.797286
923.0,200,910.215474
